dir_name,file_name,cell_type,cell_cycle_stage,rep
SRR6150369,SRR6150369.fastq.gz,HeLa,G1,1
SRR6150370,SRR6150370.fastq.gz,HeLa,G1,2
SRR6150371,SRR6150371.fastq.gz,HeLa,G1,3
SRR6150372,SRR6150372.fastq.gz,HeLa,S,1
SRR6150373,SRR6150373.fastq.gz,HeLa,S,2
SRR6150374,SRR6150374.fastq.gz,HeLa,S,3
SRR6150375.combined,SRR6150375.combined.fastq.gz,HeLa,G2,1
SRR6150378.combined,SRR6150378.combined.fastq.gz,HeLa,G2,2
SRR6150381.combined,SRR6150381.combined.fastq.gz,HeLa,G2,3
SRR6150384,SRR6150384.fastq.gz,U2OS,G1,1
SRR6150385,SRR6150385.fastq.gz,U2OS,G1,2
SRR6150386,SRR6150386.fastq.gz,U2OS,S,1
SRR6150387,SRR6150387.fastq.gz,U2OS,S,2
SRR6150388,SRR6150388.fastq.gz,U2OS,G2,1
SRR6150389,SRR6150389.fastq.gz,U2OS,G2,2